ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,2,CANCUN,MAS,1234,41144,55,3038,44237,137914,1234
23,QUINTANA ROO,2,CANCUN,CXQROO,391,41144,55,3038,44237,137914,391
23,QUINTANA ROO,2,CANCUN,FXMQROO,2260,41144,55,3038,44237,137914,2260
23,QUINTANA ROO,2,CANCUN,CAND_IND1,NA,41144,55,3038,44237,137914,0
23,QUINTANA ROO,2,CANCUN,PAN_PRD_CXQROO,68,41144,55,3038,44237,137914,3956
23,QUINTANA ROO,2,CANCUN,PAN_PRD,78,41144,55,3038,44237,137914,3575
23,QUINTANA ROO,2,CANCUN,PAN_CXQROO,13,41144,55,3038,44237,137914,3338
23,QUINTANA ROO,2,CANCUN,PRD_CXQROO,1,41144,55,3038,44237,137914,955
23,QUINTANA ROO,2,CANCUN,PVEM_PT_MORENA_FXMQROO,0,41144,55,3038,44237,137914,30925
23,QUINTANA ROO,2,CANCUN,PVEM_PT_MORENA,0,41144,55,3038,44237,137914,28665
23,QUINTANA ROO,2,CANCUN,PVEM_PT_FXMQROO,0,41144,55,3038,44237,137914,17449
23,QUINTANA ROO,2,CANCUN,PVEM_MORENA_FXMQROO,0,41144,55,3038,44237,137914,29518
23,QUINTANA ROO,2,CANCUN,PT_MORENA_FXMQROO,0,41144,55,3038,44237,137914,17143
23,QUINTANA ROO,2,CANCUN,PVEM_PT,0,41144,55,3038,44237,137914,15189
23,QUINTANA ROO,2,CANCUN,PVEM_MORENA,0,41144,55,3038,44237,137914,27258
23,QUINTANA ROO,2,CANCUN,PVEM_FXMQROO,0,41144,55,3038,44237,137914,16042
23,QUINTANA ROO,2,CANCUN,PT_MORENA,0,41144,55,3038,44237,137914,14883
23,QUINTANA ROO,2,CANCUN,PT_FXMQROO,0,41144,55,3038,44237,137914,3667
23,QUINTANA ROO,2,CANCUN,MORENA_FXMQROO,0,41144,55,3038,44237,137914,15736
23,QUINTANA ROO,3,CANCUN,PAN,1840,27532,38,1335,28905,80938,1840
