ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,76,HUILOAPAN DE CUAUHTEMOC,4,9,151,117,244,72,32,175,1604,271,405,201,27,270,137,142,5,1,4,1,2,2,1,1,3865,1,108,3974,5391,
30,VERACRUZ,77,IGNACIO DE LA LLAVE,16,26,690,2625,38,100,38,95,1386,4175,42,37,84,61,64,115,5,11,0,1,3,0,0,0,9570,0,379,9949,13395,
30,VERACRUZ,78,ILAMATLAN,13,21,270,116,481,2189,1968,1063,627,21,6,2,0,31,32,29,3,0,1,2,1,5,1,5,6853,2,235,7090,8953,
30,VERACRUZ,79,ISLA,17,52,1854,480,152,847,2999,756,6249,223,184,25,803,559,2205,483,71,12,3,1,8,4,7,14,17939,4,677,18620,30023,
30,VERACRUZ,80,IXCATEPEC,8,16,583,137,1956,46,110,38,1559,69,382,6,1777,50,75,90,2,3,9,3,5,1,1,2,6904,1,197,7102,9131,
30,VERACRUZ,81,IXHUACAN DE LOS REYES,5,15,2661,1315,25,78,54,71,1422,60,498,8,9,48,45,23,13,20,3,4,1,1,2,0,6361,0,257,6618,8214,
30,VERACRUZ,82,IXHUATLAN DE MADERO,33,62,460,7623,1110,564,4851,850,4975,307,217,30,0,730,221,305,12,13,11,10,6,6,1,22,22324,75,877,23276,34898,
30,VERACRUZ,83,IXHUATLAN DEL CAFE,11,29,1711,1629,109,194,1537,163,3171,74,591,67,68,111,87,66,32,11,5,4,74,27,10,44,9785,4,359,10148,16413,
30,VERACRUZ,84,IXHUATLAN DEL SURESTE,8,23,109,181,903,38,47,115,4204,761,154,2,319,270,63,887,17,0,4,5,7,1,3,8,8098,0,202,8300,11999,
30,VERACRUZ,85,IXHUATLANCILLO,7,26,285,361,1725,276,1263,225,2625,39,230,34,22,576,156,188,79,10,10,11,19,4,5,11,8154,4,381,8539,15944,
30,VERACRUZ,86,IXMATLAHUACAN,7,11,830,121,25,68,46,89,1176,31,105,5,1004,41,42,33,20,15,4,0,3,0,6,2,3666,0,138,3804,4878,
